📺央视频道,#genre#
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$订阅源
CCTV-1,http://221.13.234.27:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://61.138.82.196:808/hls/1/index.m3u8$订阅源
CCTV-2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd$订阅源
CCTV-2,http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://221.13.234.27:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$订阅源
CCTV-3,http://114.252.114.191:8899/hls/3/index.m3u8$订阅源
CCTV-3,http://221.13.234.27:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://60.16.0.36:5757/hls/4/index.m3u8$订阅源
CCTV-4,http://221.13.234.27:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd$订阅源
CCTV-5,http://74.91.26.218:82/live/cctv5hd.m3u8$IPV4•线路48
CCTV-5,http://60.16.0.36:5757/hls/6/index.m3u8$订阅源
CCTV-5,http://221.13.234.27:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p$订阅源
CCTV-6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd$订阅源
CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8$订阅源
CCTV-6,http://221.13.234.27:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd$订阅源
CCTV-7,http://221.13.234.27:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://60.16.0.36:5757/hls/8/index.m3u8$订阅源
CCTV-7,http://112.123.243.37:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd$订阅源
CCTV-8,http://221.13.234.27:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://60.16.0.36:5757/hls/9/index.m3u8$订阅源
CCTV-9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd$订阅源
CCTV-9,http://60.16.0.36:5757/hls/10/index.m3u8$订阅源
CCTV-9,http://221.13.234.27:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd$订阅源
CCTV-10,http://221.13.234.27:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd$订阅源
